"","gene1","gene2","p.value","q.value"
"502","SMARCA4","PPP2R1A",1.87493184389217e-06,0.000176592830968564
"507","SPTA1","PPP2R1A",2.02848047831206e-06,0.000191423159526082
"558","TP53","SMC3",2.04986819306637e-06,0.000192574450339277
"543","TP53","RPS6KA3",2.084967832838e-06,0.000194854604414839
"43","PPP2R1A","AR",2.09487440459049e-06,0.000194854604414839
"146","PPP2R1A","CSDE1",2.26489531731472e-06,0.000210582484550652
"528","TP53","PTPN11",2.35672862102565e-06,0.000217979826230808
"581","TSC1","TP53",2.40246755419016e-06,0.000220124001217908
"101","TP53","CARD11",2.42160444855371e-06,0.000220124001217908
"225","TP53","DDX3X",2.42160444855371e-06,0.000220124001217908
"259","TP53","ERBB3",2.52771977594209e-06,0.000227031238883212
"109","NFE2L2","CCND1",2.56487858440643e-06,0.000229900499381095
"248","TP53","EPHA2",2.5889294072601e-06,0.000229934659470398
"472","TP53","PLCB4",2.81961489850147e-06,0.000249628429962342
"545","TP53","RUNX1",2.81961489850147e-06,0.000249628429962342
"263","TP53","ESR1",2.9155906321506e-06,0.000257019981348993
"494","RFC1","PPP2R1A",3.07987245443822e-06,0.000274261659284413
"147","TP53","CSDE1",3.21221818431545e-06,0.000284961625993969
"241","TP53","EGFR",3.36848505758274e-06,0.000296974290390621
"57","PPP2R1A","ARID5B",3.56349746907859e-06,0.000309253246789022
"509","STAG2","PPP2R1A",3.56349746907859e-06,0.000309253246789022
"587","ZBTB7B","TP53",3.6552488823718e-06,0.000318898376788218
"351","PPP2R1A","KMT2C",4.06566531396917e-06,0.000351790851854801
"571","TP53","TBL1XR1",4.14035137134261e-06,0.000358766199992135
"129","PPP2R1A","CHD4",4.40642322214852e-06,0.000380819959393405
"268","FGFR2","FBXW7",4.5239331279605e-06,0.000389056771275694
"377","SOX17","KRAS",4.57041063400031e-06,0.000390707574702675
"83","TP53","BAP1",4.63499610282558e-06,0.000393658240141757
"533","TP53","RB1",4.65434433566299e-06,0.000395273558225896
"110","PPP2R1A","CCND1",4.84975618271407e-06,0.000413786304133811
"25","PPP2R1A","AKT1",4.9241456406707e-06,0.000418940081895626
"461","PPP2R1A","PIK3CA",5.03111529913794e-06,0.000424700259847912
"347","PPP2R1A","KMT2B",5.79118622669805e-06,0.000487733533238034
"378","SPOP","KRAS",6.11800907326674e-06,0.00051816556867368
"165","ERBB3","CTNNB1",6.2674252000442e-06,0.000528389351829372
"143","CTNNB1","CREBBP",7.00587867233507e-06,0.000581833976722799
"264","TP53","EZH2",7.00930604015512e-06,0.000581833976722799
"390","TP53","LZTR1",7.00930604015512e-06,0.000581833976722799
"568","TP53","SPTAN1",7.27274717798646e-06,0.000599428360979878
"300","NUP133","FOXA2",7.51971604682512e-06,0.0006191507604665
"170","FLNA","CTNNB1",7.66162869032401e-06,0.000630693551354462
"409","TP53","MET",7.93448876245381e-06,0.000653016078035626
"593","ZNF750","TP53",8.03469858983641e-06,0.000658738005638669
"6","CTNNB1","ACVR1B",8.38791135311021e-06,0.000679973680542029
"275","TP53","FBXW7",8.43269241782693e-06,0.000684029496879142
"416","TP53","MSH6",8.5010494363066e-06,0.000684582013680195
"144","PPP2R1A","CREBBP",9.55767575024067e-06,0.000766417796996894
"63","TP53","ATF7IP",9.61507840401727e-06,0.000766417796996894
"219","TP53","CYLD",9.61507840401727e-06,0.000766417796996894
"121","PPP2R1A","CHD3",9.81081510104963e-06,0.000787773724979226
"429","PPP2R1A","NFE2L2",9.93085369899289e-06,0.000793979515149997
"471","TP53","PIK3R2",1.03126964323795e-05,0.000818602705190733
"222","TP53","DACH1",1.06827527352057e-05,0.000846759895492427
"572","TP53","TBX3",1.06827527352057e-05,0.000846759895492427
"542","TP53","RNF43",1.1568544782016e-05,0.000912359890257219
"410","PPP2R1A","MGA",1.2492087459022e-05,0.00100278713301401
"27","TP53","AKT1",1.27233738378419e-05,0.00101571084327921
"50","PPP2R1A","ARHGAP35",1.28435405493763e-05,0.00101727664196996
"105","CTNNB1","CCND1",1.29846056459649e-05,0.0010250793825169
"119","TP53","CDKN2A",1.33563110846018e-05,0.00104736251589202
"440","TP53","NRAS",1.33563110846018e-05,0.00104736251589202
"29","TP53","ALB",1.35389502104524e-05,0.00104917176317942
"46","TP53","ARAF",1.35389502104524e-05,0.00104917176317942
"546","TP53","RXRA",1.35389502104524e-05,0.00104917176317942
"576","TP53","TGFBR2",1.35389502104524e-05,0.00104917176317942
"395","TP53","MAP2K4",1.41593334524745e-05,0.00108449999611514
"255","NFE2L2","ERBB3",1.51792366764375e-05,0.00115634604445078
"132","PPP2R1A","CHD8",1.56649696207742e-05,0.00119055699054334
"460","PIK3R1","PIK3CA",1.61737228513775e-05,0.00122971648648733
"363","NFE2L2","KRAS",1.6403118883021e-05,0.00124870492206688
"431","SPOP","NFE2L2",1.6539351479218e-05,0.00125993041565236
"148","CTNNB1","CTCF",1.68411500266029e-05,0.00127997288481424
"427","PPP2R1A","NF1",1.68922221804454e-05,0.00127997288481424
"75","TP53","AXIN1",1.73798174073479e-05,0.0013077181710011
"413","TP53","MLH1",1.76146785240051e-05,0.0013077181710011
"161","DMD","CTNNB1",1.78632930096866e-05,0.00132761994986291
"227","PPP2R1A","DIAPH2",1.82062001418294e-05,0.00133438676270222
"503","SMC1A","PPP2R1A",1.82062001418294e-05,0.00133438676270222
"425","PPP2R1A","NCOR1",1.8609081590706e-05,0.00136147336318012
"271","PIK3CA","FBXW7",1.88430191828937e-05,0.00137208610419916
"194","PIK3R1","CTNNB1",2.08998283384682e-05,0.00152625746975654
"177","KMT2C","CTNNB1",2.09286390301091e-05,0.00152625746975654
"183","MGA","CTNNB1",2.11633659219172e-05,0.00154331700608638
"459","TP53","PHF6",2.19005123306416e-05,0.0016011069328169
"72","PPP2R1A","ATRX",2.19254921102864e-05,0.0016011069328169
"434","PPP2R1A","NIPBL",2.19990072349908e-05,0.0016011069328169
"86","TP53","BCL2L11",2.22492979071759e-05,0.00161504020476561
"327","TP53","JAK3",2.22492979071759e-05,0.00161504020476561
"588","ZCCHC12","TP53",2.25571552596669e-05,0.00162152569292752
"326","TP53","JAK2",2.29903620264616e-05,0.00164841707157853
