"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"256","PTPRC","SPTA1",23,141,15.05,0
"257","PTPRC","TLR4",11,87,9,0.004
"258","PTPRC","TP53",28,211,22.05,0
"259","PTPRD","SETBP1",21,109,15,0
"260","PTPRD","SMAD4",12,84,6,0
"261","PTPRD","SPTA1",38,154,29,0
"262","PTPRD","TLR4",17,118,15,0.018
"263","PTPRD","TP53",51,208,42,0
"264","RB1","TP53",14,214,11,0.004
"265","RET","TP53",13,217,12,0.018
"266","SETBP1","SPTA1",25,155,21,0.008
"267","SETBP1","TLR4",12,103,11,0.046
"268","SETBP1","TP53",39,207,31,0
"269","SETD2","TP53",13,227,16,0.422
"270","SF3B1","TP53",11,216,10,0.006
"271","SMAD4","TP53",11,220,11,0.12
"272","SMARCA1","TP53",13,218,12,0.044
"273","SMARCA4","SPTA1",16,155,16,0.078
"274","SMARCA4","TP53",19,229,22,0.372
"275","SPTA1","STK11",14,160,16,0.236
"276","SPTA1","TLR4",27,152,21.05,0.002
"277","SPTA1","TP53",81,202,64,0
"278","SPTA1","WT1",11,138,8,0.004
"279","SPTAN1","TP53",11,218,10.05,0.05
"280","STK11","TP53",16,236,23.05,0.804
"281","TAF1","TP53",14,213,11,0
"282","TBX3","TP53",11,223,13,0.27
"283","TLR4","TP53",35,216,32,0.01
"284","TP53","USP9X",14,218,13,0.028
"285","TP53","ZCCHC12",12,217,11,0.034
"286","TP53","ZFHX3",17,215,15,0.008
